"dish_name","cuisine","category","dietary_type","temp","importance","primary_protein"
"Thai Spring Rolls","Thai","Appetizer","Veg","hot","8.5","None"
"Chicken Satay","Thai","Appetizer","Non-Veg","hot","9.2","Chicken"
"Fresh Summer Rolls","Thai","Appetizer","Non-Veg","cold","8.8","Shrimp"
"Thai Fried Calamari","Thai","Appetizer","Non-Veg","hot","7.5","Squid"
"Thai Fish Cakes","Thai","Appetizer","Non-Veg","hot","8","Fish"
"Green Papaya Salad","Thai","Salad","Non-Veg","cold","9.8","Dried Shrimp"
"Thai Chicken Wings","Thai","Appetizer","Non-Veg","hot","7.2","Chicken"
"Thai Shrimp Cakes","Thai","Appetizer","Non-Veg","hot","7.8","Shrimp"
"Fried Wontons","Thai","Appetizer","Non-Veg","hot","6.5","Pork"
"Fried Tofu","Thai","Appetizer","Vegan","hot","6","Tofu"
"Golden Bags","Thai","Appetizer","Non-Veg","hot","6.8","Chicken"
"Thai Curry Puffs","Thai","Appetizer","Non-Veg","hot","7.4","Chicken"
"Chicken Lettuce Wraps","Thai","Appetizer","Non-Veg","cold","7.1","Chicken"
"Steamed Dumplings","Thai","Appetizer","Non-Veg","hot","7.9","Pork"
"Thai Corn Fritters","Thai","Appetizer","Veg","hot","6.7","Corn"
"Larb Gai","Thai","Salad","Non-Veg","warm","9","Chicken"
"Shrimp in a Blanket","Thai","Appetizer","Non-Veg","hot","7.6","Shrimp"
"Sun-Dried Beef","Thai","Appetizer","Non-Veg","hot","8.2","Beef"
"Waterfall Beef Salad","Thai","Salad","Non-Veg","warm","8.9","Beef"
"Coconut Shrimp","Thai","Appetizer","Non-Veg","hot","7.8","Shrimp"
"Pad Thai","Thai","Main Course","Non-Veg","hot","10","Shrimp"
"Pad See Ew","Thai","Main Course","Non-Veg","hot","9.2","Beef"
"Drunken Noodles","Thai","Main Course","Non-Veg","hot","9","Chicken"
"Khao Soi","Thai","Main Course","Non-Veg","hot","9.5","Chicken"
"Pad Woon Sen","Thai","Main Course","Non-Veg","hot","7.4","Pork"
"Boat Noodles","Thai","Main Course","Non-Veg","hot","8.7","Beef"
"Rad Na","Thai","Main Course","Non-Veg","hot","7.9","Pork"
"Kuay Teow Nua","Thai","Main Course","Non-Veg","hot","8.2","Beef"
"Pad Kra Pao","Thai","Main Course","Non-Veg","hot","9.9","Pork"
"Cashew Chicken","Thai","Main Course","Non-Veg","hot","8.5","Chicken"
"Pad Priew Wan","Thai","Main Course","Non-Veg","hot","7.2","Pork"
"Pad Ginger","Thai","Main Course","Non-Veg","hot","7","Chicken"
"Pad Prik Khing","Thai","Main Course","Non-Veg","hot","8.1","Pork"
"Garlic Pepper Stir-Fry","Thai","Main Course","Non-Veg","hot","7.6","Chicken"
"Kana Moo Krob","Thai","Main Course","Non-Veg","hot","8.8","Pork"
"Mixed Vegetable Stir-Fry","Thai","Main Course","Veg","hot","6.5","None"
"Green Curry","Thai","Main Course","Non-Veg","hot","9.7","Chicken"
"Red Curry","Thai","Main Course","Non-Veg","hot","9.4","Beef"
"Yellow Curry","Thai","Main Course","Non-Veg","hot","8.9","Chicken"
"Massaman Curry","Thai","Main Course","Non-Veg","hot","9.6","Beef"
"Panang Curry","Thai","Main Course","Non-Veg","hot","9.1","Beef"
"Jungle Curry","Thai","Main Course","Non-Veg","hot","7.5","Pork"
"Pineapple Curry","Thai","Main Course","Non-Veg","hot","7.8","Duck"
"Duck Curry","Thai","Main Course","Non-Veg","hot","8.6","Duck"
"Thai Fried Rice","Thai","Main Course","Non-Veg","hot","8.5","Chicken"
"Pineapple Fried Rice","Thai","Main Course","Non-Veg","hot","8.2","Shrimp"
"Basil Fried Rice","Thai","Main Course","Non-Veg","hot","8.4","Pork"
"Crab Fried Rice","Thai","Main Course","Non-Veg","hot","9","Crab"
"Crying Tiger","Thai","Main Course","Non-Veg","hot","9.3","Beef"
"Larb","Thai","Salad","Non-Veg","warm","9.1","Chicken"
"Gai Yang","Thai","Main Course","Non-Veg","hot","8.9","Chicken"
"Steam Ginger Fish","Thai","Main Course","Non-Veg","hot","8","Fish"
"Pla Rad Prik","Thai","Main Course","Non-Veg","hot","8.4","Fish"
"Khao Kha Moo","Thai","Main Course","Non-Veg","hot","8.7","Pork"
"Khao Mok Gai","Thai","Main Course","Non-Veg","hot","8.3","Chicken"
"Yum Woon Sen","Thai","Salad","Non-Veg","cold","8.5","Shrimp"
"Tom Yum Soup","Thai","Soup","Non-Veg","hot","9.8","Shrimp"
"Tom Kha Soup","Thai","Soup","Non-Veg","hot","9.4","Chicken"
"Khua Kling","Thai","Main Course","Non-Veg","hot","8","Pork"
"Mango Sticky Rice","Thai","Dessert","Vegan","cold","10","None"
"Fried Bananas","Thai","Dessert","Vegan","hot","7.5","None"
