dish_name,alternate_alias,cuisine_name,region,category,sub_category,main_ingredient_category,dietary_type,course,primary_protein,dish_importance_score,spice_level,sweet_score,salt_score,sour_score,bitter_score,umami_score,spicy_score,rich_fat_score,astringency_score,viscosity_score,crunchy_score,chewy_score,aromatic_score,funk_score,rating,ingredients,description
Acorn Mush,,American,Native American California,Main Dish,Porridge,Nut Dish,Vegan,Main,Nuts,6.9,Mild,1,3,1,1,3,1,4,5,5,4,1,2,1,,"acorn meal, water, salt, black pepper, garlic, onion, butter, oil",Acorn mush is an Indigenous California staple made from leached acorn meal.
Ambrosia Salad,,American,Southern,Salad,Dessert Salad,Milk Dish,Veg,Salad,Milk,3.7,Low,9,1,3,1,2,1,7,1,5,3,1,2,1,,"coconut, citrus, pineapple, marshmallows, cream, salt, black pepper, garlic, onion, butter, oil",Ambrosia salad is a sweet fruit-and-cream salad common in Southern holiday meals.
American Chop Suey,Goulash (New England style),American,New England,Main Dish,Pasta Dish,Beef Dish,Non-Veg,Main,Beef,5.3,Mild,1,6,2,1,9,2,6,2,5,2,5,6,1,,"elbow macaroni, ground beef, tomato sauce, onion, garlic, salt, black pepper, butter, oil","American chop suey is a New England comfort dish of macaroni, ground beef, and tomato sauce."
Anadama Bread,,American,New England,Bread,Yeast Bread,Wheat Dish,Vegan,Side,Wheat,2.0,Low,4,4,1,1,2,1,2,1,1,1,3,2,1,,"flour, cornmeal, molasses, yeast, salt, black pepper, garlic, onion, butter, oil",Anadama bread is a New England yeast bread known for its cornmeal texture and molasses sweetness.
Apple Cider Doughnut,Cider donut,American,New England,Dessert,Doughnut,Fruit Dish,Veg,Dessert,Fruit,6.3,Low,9,1,1,1,1,1,7,1,1,1,1,3,1,,"apple cider, flour, sugar, cinnamon, butter, salt, black pepper, garlic, onion, oil","Apple cider doughnuts are popular in the Northeast, especially in New England during the autumn harvest season."
Apple Dumpling,,American,Pennsylvania Dutch,Snack,Pastry,Fruit Dish,Veg,Snack,Fruit,3.7,Low,9,1,1,1,1,1,4,2,1,1,4,4,1,,"apple, pastry dough, sugar, cinnamon, salt, black pepper, garlic, onion, butter, oil",Apple dumplings are a Pennsylvania Dutch-style baked dessert of apples wrapped in pastry.
Arizona Cheese Crisp,,American,Arizona,Appetizer,Crisp Tortilla,Cheese Dish,Veg,Appetizer,Cheese,2.5,Mild,1,5,1,1,5,1,5,1,2,9,1,2,2,,"flour tortilla, cheese, green chiles, salt, black pepper, garlic, onion, butter, oil",An Arizona cheese crisp is an open-faced crisp tortilla topped with melted cheese.
Avocado Toast,,American,California,Breakfast,Toast,Wheat Dish,Veg,Breakfast,Wheat,4.3,Mild,1,6,4,1,2,3,4,1,2,5,4,2,1,,"bread, avocado, lemon, salt, chili flakes, black pepper, garlic, onion, butter, oil",Avocado toast is closely associated with California cafe culture and produce-driven cooking.
Bagel and Cream Cheese,,American,New York,Breakfast,Bread with Spread,Cheese Dish,Veg,Appetizer,Cheese,6.7,Mild,1,6,1,1,6,1,9,1,6,1,3,3,2,,"bagel, cream cheese, salt, black pepper, garlic, onion, butter, oil",Bagel and cream cheese is a quintessential New York breakfast combination.
Baked Stuffed Lobster,,American,New England,Main Dish,Seafood Entree,Seafood Dish,Pescatarian,Main,Lobster,5.3,Mild,1,6,1,1,8,2,8,1,2,1,1,7,1,,"lobster, seafood stuffing, butter, breadcrumbs, herbs, salt, black pepper, garlic, onion, oil",Baked stuffed lobster is a celebratory New England seafood dish featuring lobster filled with seasoned stuffing.
Banana Pudding,,American,Southern,Dessert,Pudding,Fruit Dish,Veg,Dessert,Fruit,6.3,Low,9,1,1,1,1,1,4,1,1,1,1,2,1,,"bananas, vanilla pudding, wafers, whipped topping, salt, black pepper, garlic, onion, butter, oil","Banana pudding is a beloved Southern dessert layered with bananas, vanilla pudding, and cookies."
