dish_name,cuisine,context_string
Thai Spring Rolls,Thai,Appetizer: Crispy deep-fried vegetable rolls with a sweet chili dipping sauce. Savory and crunchy street food staple.
Chicken Satay,Thai,Appetizer: Grilled marinated chicken skewers served with creamy peanut sauce and cucumber relish. Aromatic and protein-rich.
Fresh Summer Rolls,Thai,"Appetizer: Translucent rice paper rolls with fresh herbs, shrimp, and vermicelli. Healthy, cold, and refreshing."
Thai Fried Calamari,Thai,Appetizer: Lightly battered crispy squid rings seasoned with Thai spices and served with spicy mayo or chili sauce.
Thai Fish Cakes,Thai,Appetizer: Spiced fish patties with red curry paste and kaffir lime leaves. Springy texture with a herbal aroma.
Green Papaya Salad,Thai,"Salad: Iconic Som Tum. Shredded green papaya, chilies, garlic, and peanuts tossed in a lime-fish sauce dressing."
Thai Chicken Wings,Thai,Appetizer: Crispy wings glazed in a sweet and spicy tamarind or garlic chili sauce. Bold and savory.
Thai Shrimp Cakes,Thai,"Appetizer: Breaded and fried minced shrimp patties. Juicy interior with a golden, crunchy exterior."
Fried Wontons,Thai,Appetizer: Crispy pastry shells filled with seasoned minced pork or shrimp. Classic fried snack.
Fried Tofu,Thai,Appetizer: Deep-fried bean curd blocks served with sweet chili sauce and crushed peanuts. Vegan-friendly crunch.
Golden Bags,Thai,"Appetizer: Crispy money bags filled with minced chicken, shrimp, and water chestnuts. Festive and bite-sized."
Thai Curry Puffs,Thai,"Appetizer: Flaky pastry shells filled with curried chicken and potatoes. Savory, buttery, and aromatic."
Chicken Lettuce Wraps,Thai,"Appetizer: Sautéed minced chicken with water chestnuts and herbs, served in crisp lettuce cups. Fresh and light."
Steamed Dumplings,Thai,"Appetizer: Tender dough parcels filled with pork and shrimp, served with ginger soy sauce. Soft and savory."
Thai Corn Fritters,Thai,"Appetizer: Sweet corn kernels mixed with red curry paste and deep-fried. Sweet, savory, and chewy."
Larb Gai,Thai,"Salad: Traditional minced chicken salad with lime juice, fish sauce, toasted rice powder, and fresh mint."
Shrimp in a Blanket,Thai,Appetizer: Whole shrimp wrapped in spring roll pastry and deep-fried. Elegant and crispy seafood snack.
Sun-Dried Beef,Thai,"Appetizer/Main: Deep-fried marinated beef strips. Salty, chewy, and intensely savory jerky-style dish."
Waterfall Beef Salad,Thai,"Salad: Nam Tok. Sliced grilled beef tossed with lime, chili, and toasted rice. Smoky and punchy flavor."
Coconut Shrimp,Thai,Appetizer: Crispy butterfly shrimp coated in sweet coconut flakes and deep-fried. Tropical and crunchy.
Pad Thai,Thai,"Main Course: Thailand's national dish. Stir-fried rice noodles with eggs, tofu, tamarind, and peanuts. Sweet-savory balance."
Pad See Ew,Thai,"Main Course: Wide rice noodles stir-fried with dark soy sauce, Chinese broccoli, and egg. Charred, salty, and comforting."
Drunken Noodles,Thai,"Main Course: Pad Kee Mao. Spicy stir-fried wide noodles with basil, chilies, and garlic. Bold, herbal, and intensely savory."
Khao Soi,Thai,"Main Course: Northern Thai coconut curry noodle soup. Topped with crispy noodles, lime, and pickled mustard greens. Rich and creamy."
Pad Woon Sen,Thai,"Main Course: Stir-fried glass noodles with vegetables and egg. Light, savory, and silky texture."
Boat Noodles,Thai,"Main Course: Intense, dark noodle soup flavored with blood, spices, and herbs. Small bowls with deep, complex umami."
Rad Na,Thai,"Main Course: Wide rice noodles topped with a thick, savory gravy and Chinese broccoli. Silky and comforting."
